Areas;Unidade;2022;2021;2020;2019;2018;;;;
AUDIOVISUAL E MULTIMÉDIA;1000 euros;97 184;107 873;107 004;117 051;110 042;;;;
Audiovisual e Média Interativa;1000 euros;45 269;47 532;45 625;51 248;45 088;;;;
CD´S;1000 euros;27 751;30 243;27 089;25 061;24 395;;;;
DVD'S;1000 euros;20 043;24 819;28 939;34 153;28 079;;;;
Outros Suportes;1000 euros;4 120;5 280;5 351;6 590;12 480;;;;
ARQUITETURA;1000 euros;3 913;2 681;2 553;3 871;355;;;;
Plantas e Desenhos de Arquitetura;1000 euros;3 913;2 681;2 553;3 871;355;;;;
Em percentagem do total das importações;%;0,43;0,49;0,52;0,53;0,55;;;;
* Troca dos respetivos valores em relação ao publicado anteriormente.;;;;;;;;;;
Fonte: INE, I.P., Comércio Internacional (versão de 09-08-2023);;;;;;;;;;
;;;;;;;;;;
1.7. PARTICIPAÇÃO CULTURAL;;;;;;;;;;
1.7.1 Uso da Internet em atividades culturais;;;;;;;;;;
Ler notícias em jornais, revistas online ou noutros websites de informação;%;81,8;81,3;85,7;82,8;81;;;;
Ouvir música;%;69,5;69;70,1;68,4;69,3;;;;
Ver TV;%;45,2;46,1;43,4;38,7;38,8;;;;
Jogar através da Internet ou fazer download de jogos;%;37,1;37,5;37,6;38,6;39,4;;;;
Fonte: INE, I.P. - Inquérito à Utilização de Tecnologias da Informação e da Comunicação pelas Famílias;;;;;;;;;;
;;;;;;;;;;
1.8. PATRIMÓNIO CULTURAL;;;;;;;;;;
1.8.1.  Museus ;;;;;;;;;;
    Número de museus;N.º;424;419;414;436;431;;;;
    Total de visitantes ;1 000;15 763;7 497;5 736;19 778;19 494;;;;
    Visitantes inseridos em grupos escolares;1 000;1 191;405;430;2 012;1 859;;;;
    Visitantes estrangeiros ;1 000;7 666;2 891;2 038;10 343;9 288;;;;
Fonte: INE, I.P., Inquérito aos Museus;;;;;;;;;;
;;;;;;;;;;
1.8.2. Património cultural imóvel ;;;;;;;;;;
     Total dos bens imóveis (protegidos);N.º;4 714;4 655;4 622;4 568;4 546;;;;
     Monumentos        ;N.º;3 594;3 543;3 519;3 472;3 456;;;;
     Monumentos nacionais;N.º;831;831;826;826;824;;;;
"Fonte: DGPC - Direção-Geral do Património Cultural (Continente); Direção Regional de Cultura (R.A. dos Açores);Direção Regional de Cultura (R.A. da Madeira).";;;;;;;;;;
;;;;;;;;;;
1.9. ARTES PLÁSTICAS;;;;;;;;;;
Galerias de arte e outros espaços de exposições temporárias ;;;;;;;;;;
   Número de galerias de arte e outros espaços de exposições temporárias;N.º;977;901;831;989;1 023;;;;
Exposições realizadas;N.º;6 178;4 581;3 748;6 959;7 136;;;;
Obras expostas;N.º;236 029;186 931;158 526;273 045;276 985;;;;
Autores;N.º;52 719;40 778;31 292;56 424;53 909;;;;
Fonte: INE, I.P., Inquérito Galerias de Arte e outros espaços de Exposições Temporárias;;;;;;;;;;
;;;;;;;;;;
1.10. MATERIAIS IMPRESSOS E DE LITERATURA ;;;;;;;;;;
1.10.1 Livro (1);;;;;;;;;;
Autores;N.º;8 370;8 957;7 524;9 111;8 860;;;;
;;;;;;;;;;
Total de livros editados - impressos;N.º;11 449;12 083;10 279;12 308;12 117;;;;
dos quais:;;;;;;;;;;
Primeiras edições;N.º;9 554;10 482;9 017;10 619;10 682;;;;
Reedições;N.º;1 895;1 601;1 262;1 689;1 435;;;;
;;;;;;;;;;
Por tipo de edição (2);;;;;;;;;;
dos quais:;;;;;;;;;;
Originais;N.º;8 141;9 015;7 486;9 049;8 831;;;;
Traduzidos;N.º;3 279;3 047;2 780;3 239;3 259;;;;
;;;;;;;;;;
Por categoria e género literário;;;;;;;;;;
dos quais:;;;;;;;;;;
Obras de referência;N.º;476;513;430;489;501;;;;
Leis e legislação;N.º;184;171;127;181;160;;;;
Manuais de ensino;N.º;492;570;361;514;474;;;;
Literatura;N.º;7 048;7 157;5 844;6 716;6 604;;;;
(1) Os dados de 2021 e 2022 são provisórios e os dados de 2020 foram revistos.;;;;;;;;;;
(2) Considerou-se a língua original da obra (e não a língua de que foi traduzida).;;;;;;;;;;
Fonte:  Biblioteca Nacional de Portugal - Número do Depósito Legal (Extração da informação: 26-05-2022).;;;;;;;;;;
;;;;;;;;;;
 1.10.2 Publicações periódicas (1);;;;;;;;;;
   Número de publicações periódicas;N.º;840;888;886;963;1 087;;;;
            Das quais:;;;;;;;;;;
                Número de jornais;N.º;393;349;350;364;403;;;;
                Número de revistas;N.º;447;413;410;448;527;;;;
   Edições anuais;N.º;17 723;18 264;18 051;19 323;21 186;;;;
   Tiragem total ;1 000;175 852;213 395;236 287;289 670;324 702;;;;
   Circulação total ;1 000;338 881;142 601;162 693;201 727;232 045;;;;
            Da qual: ;;;;;;;;;;
                Circulação paga;1 000;104 692;108 500;121 250;151 562;171 179;;;;
(1) Em 2022 existe quebra na série dos dados resultante da alteração metodológica do inquérito às publicações periódicas cujo âmbito foi alterado. Para além das publicações periódicas em suporte de difusão, “papel” e “em papel e eletrónico simultaneamente” passou a ser considerado  também o suporte “só eletrónico”. No tipo de publicações periódicas passaram a ser consideradas apenas os jornais e as revistas. ;;;;;;;;;;
Fonte: INE, I.P., Inquérito às Publicações Periódicas;;;;;;;;;;
;;;;;;;;;;
1.11. CINEMA ;;;;;;;;;;
1.11.1. Produção cinematográfica em Portugal;;;;;;;;;;
        Filmes apoiados;N.º;125;87;93;98 Rv;71;;;;
        Filmes produzidos;N.º;101;52;49;66;72;;;;
        Filmes nacionais estreados;N.º;54;16;30;47;38;;;;
1.11.2.  Exibição ;;;;;;;;;;
        Recintos de cinema;N.º;190;176;174;185;186;;;;
        Ecrãs em recintos de cinema;N.º;569;547;565;583;587;;;;
        Lugares em recintos de cinema;N.º;111 907;105 239;109 503;112 156;113 001;;;;
        Filmes exibidos;N.º;1 125;1 012;1 037;1 347;1 271;;;;
            Dos quais: ;;;;;;;;;;
                Filmes estreados;N.º;393;244;241;391;404;;;;
        Total de sessões;N.º;509 806;330 473;276 982;661 629;664 341;;;;
        Total de espetadores ;1 000;9 614;5 480;3 803;15 541;14 777;;;;
        Receitas de bilheteira  ;1000 euros;55 384;30 622;20 567;83 191;78 677;;;;
Fonte: ICA - Instituto do Cinema e do Audiovisual, I.P.;;;;;;;;;;
;;;;;;;;;;
1.12. VIDEOGRAMAS E VIDEOJOGOS;;;;;;;;;;
Autenticação de vídeogramas;N.º;901 416;752 516;1 539 504;2 109 132;2 872 357;;;;
   dos quais:;;;;;;;;;;
   Vídeo;Nº;34 703;95 192;336 877;950 976;1 500 687;;;;
   Multimédia ;Nº ;866 713;657 324;1 202 627;1 158 156;1 371 670;;;;
Autenticação de videojogos ;N.º;493;519 Rc;634;665;723;;;;
Nota: A autenticação de videogramas e videojogos classificados para distribuição deixou de estar associada a um selo, tendo passado a ser efetuada mediante um certificado e uma marca de autenticação, de acordo com a Portaria n.º 15/2021, de 14 de janeiro.;;;;;;;;;;
Fonte: IGAC - Inspeção-Geral das Atividades Culturais;;;;;;;;;;
;;;;;;;;;;
1.13. ESPETÁCULOS AO VIVO ;;;;;;;;;;
        Total de sessões;N.º;41 388;24 469;14 951;37 049;36 620;;;;
        Total de espetadores ;1 000;14 878;3 568;2 517;16 926;16 874;;;;
        Total de bilhetes vendidos;1 000;6 638;1 972;1 402;6 038;5 547;;;;
        Receitas de bilheteira  ;1000 euros;147 302;27 994;24 920;125 314;109 011;;;;
;;;;;;;;;;
Fonte: IINE, I.P., Inquérito aos Espetáculos ao Vivo;;;;;;;;;;
1.14. RECINTOS DE ESPETÁCULOS;;;;;;;;;;
Recintos;N.º;x;404;x;388;x;;;;
Salas/ espaços;N.º;x;600;x;585;x;;;;
Lotação;N.º;x;278 782;x;257 400;x;;;;
Lugares sentados;N.º;x;208 491;x;196 013;x;;;;
Fonte: IINE, I.P., Inquérito aos Recintos de Espetáculos;;;;;;;;;;
;;;;;;;;;;
1.15. FINANCIAMENTO PÚBLICO DAS ATIVIDADES CULTURAIS E CRIATIVAS;;;;;;;;;;
1.15.1 Administração local - Câmaras municipais;;;;;;;;;;
      Despesas totais em atividades culturais e criativas:;10 6 euros;582;491,4;470,5;519;469,8;;;;
            Das quais:;;;;;;;;;;
                Despesas correntes ;10 6 euros;492,5;396,5;385,6;453,7;414,6;;;;
                Despesas de capital ;10 6 euros;89,6;94,9;84,9;65,3;55,2;;;;
      Despesas culturais e criativas dos municípios por habitante;Euros;55,7;47,4;45,7;50,5;44,9;;;;
Fonte: INE, I.P., Inquérito ao Financiamento das Atividades Culturais, Criativas e Desportivas pelas Câmaras Municipais;;;;;;;;;;
