Areas;Unidade;2022;2021;2020;2019;2018;;;;
5821: Edição de jogos de computador;N.º;114;81;62;47;36;;;;
5911: Produção de filmes, de vídeos e de programas de televisão;N.º;3 160;2 893;2 548;2 450;2 242;;;;
5912: Atividades técnicas de pós-produção para filmes, vídeos e programas de televisão;N.º;594;492;437;404;354;;;;
5913: Distribuição de filmes, de vídeos e de programas de televisão;N.º;45;49;50;54;51;;;;
5914: Projeção de filmes e de vídeos;N.º;70;61;57;69;69;;;;
5920: Atividades de gravação de som e edição de música;N.º;497;421;389;421;390;;;;
6010: Atividades de rádio;N.º;299;296;291;295;298;;;;
6020: Atividades de televisão;N.º;98;95;79;78;74;;;;
6391: Atividades de agências de notícias;N.º;59;53;48;57;45;;;;
7111: Atividades de arquitetura;N.º;10 330;10 047;9 573;9 599;9 339;;;;
7311: Agências de publicidade;N.º;5 682;5 174;4 645;4 393;3 992;;;;
7410: Atividades de design;N.º;9 309;8 127;7 194;6 767;6 226;;;;
7420: Atividades fotográficas;N.º;3 876;3 315;3 123;3 191;2 893;;;;
7430: Atividades de tradução e interpretação;N.º;3 742;3 627;3 422;3 397;3 350;;;;
7722: Aluguer de videocassetes e discos;N.º;9;16;15;17;19;;;;
8552: Ensino de atividades culturais;N.º;620;521;495;485;439;;;;
9001: Atividades das artes do espetáculo;N.º;19 781;17 154;16 482;17 589;16 795;;;;
9002: Atividades de apoio às artes do espetáculo;N.º;1 730;1 260;1 096;1 031;921;;;;
9003: Criação artística e literária;N.º;6 633;6 070;5 718;5 926;5 888;;;;
9004: Exploração de salas de espetáculos e atividades conexas;N.º;71;63;63;65;56;;;;
9101: Atividades das bibliotecas e arquivos;N.º;37;33;34;36;31;;;;
9102: Atividades dos museus;N.º;106;102;86;75;68;;;;
9103: Atividades dos sítios e monumentos históricos;N.º;165;160;131;113;118;;;;
Em percentagem do total do setor empresarial não financeiro (Rv);%;5,2;5,1;5;5;5;;;;
;;;;;;;;;;
1.4.2. Remunerações do pessoal ao serviço;;;;;;;;;;
Total das atividades culturais e criativas;1000 euros;-;1 152 490;1 079 010;1 098 745;1 028 020;;;;
1811: Impressão de jornais;1000 euros;-;2 965;3 333;4 483;4 667;;;;
1812: Outra impressão;1000 euros;-;160 751;154 480;167 776;163 023;;;;
1813: Atividades de preparação da impressão e de produtos media;1000 euros;-;36 145;36 373;44 007;43 427;;;;
1814: Encadernação e atividades relacionadas;1000 euros;-;4 703;4 447;4 831;4 828;;;;
1820: Reprodução de suportes gravados;1000 euros;-;552;613;1 978;1 738;;;;
3212: Fabricação de joalharia, ourivesaria e artigos similares;1000 euros;-;17 707;16 540;20 121;19 649;;;;
3220: Fabricação de instrumentos musicais;1000 euros;-;2 214;2 187;2 137;2 028;;;;
4761: Comércio a retalho de livros, em estabelecimentos especializados;1000 euros;-;16 051;15 008;15 994;15 823;;;;
4762: Comércio a retalho de jornais, revistas e artigos de papelaria, em estabelecimentos especializados;1000 euros;-;55 380;56 274;55 957;53 358;;;;
4763: Comércio a retalho de discos, CD, DVD, cassetes e similares, em estabelecimentos especializados;1000 euros;-;421;446;557;496;;;;
5811: Edição de livros;1000 euros;-;41 718;38 944;36 488;37 658;;;;
5813: Edição de jornais;1000 euros;-;46 478;46 354;50 819;50 853;;;;
